project,vanilla,ctestrunner,oldctestrunner
alluxio,1.0,1.0313893729637813,5.410227051399386
camel,1.0,1.0000943768123953,41.330783489074584
flink,1.0,1.0006036565875167,28.737595702753342
hbase,1.0,1.0003733029063648,4.240332417504367
hcommon,1.0,1.0321196436160736,2.1060276407166327
hdfs,1.0,1.0118742928424644,1.1018790826213343
jmeter,1.0,2.2249048595908567,0.0
mapreduce,1.0,1.0145540645027802,1.600133689281943
paldb,1.0,1.2796981733590915,0.0
yarn,1.0,1.0176545102795067,2.1309879979026394
zeppelin,1.0,1.0026847277784496,1.1579919430363146
zookeeper,1.0,1.0095846339154262,1.015432637936529
